Entity,Code,Year,Male employment in agriculture,Female employment in agriculture
Afghanistan,AFG,2023,49.9,73.4
Albania,ALB,2023,27.6,37.2
Algeria,DZA,2023,10.9,3.9
Angola,AGO,2023,48.4,56.5
Argentina,ARG,2023,10.0,3.9
Armenia,ARM,2023,24.5,32.2
Australia,AUS,2023,2.7,1.5
Austria,AUT,2023,3.6,2.6
Azerbaijan,AZE,2023,30.6,39.7
Bahamas,BHS,2023,1.5,0.2
Bahrain,BHR,2023,1.1,0.0
Bangladesh,BGD,2023,29.0,75.0
Barbados,BRB,2023,1.9,0.8
Belarus,BLR,2023,13.2,6.9
Belgium,BEL,2023,1.4,0.7
Belize,BLZ,2023,22.4,7.1
Benin,BEN,2023,48.6,34.9
Bhutan,BTN,2023,37.9,52.8
Bolivia,BOL,2023,25.1,25.0
Bosnia and Herzegovina,BIH,2023,13.9,22.7
Botswana,BWA,2023,26.4,7.5
Brazil,BRA,2023,11.7,3.5
Brunei,BRN,2023,1.5,1.0
Bulgaria,BGR,2023,8.2,4.0
Burkina Faso,BFA,2023,51.0,54.7
Burundi,BDI,2023,77.9,92.8
Cambodia,KHM,2023,33.0,37.7
Cameroon,CMR,2023,40.5,45.9
Canada,CAN,2023,1.7,0.8
Cape Verde,CPV,2023,13.4,5.3
Central African Republic,CAF,2023,63.8,68.1
Chad,TCD,2023,70.3,74.3
Chile,CHL,2023,8.4,3.2
China,CHN,2023,25.4,19.7
Colombia,COL,2023,20.1,6.0
Comoros,COM,2023,34.5,34.7
Congo,COG,2023,35.9,38.4
Costa Rica,CRI,2023,17.0,7.7
Cote d'Ivoire,CIV,2023,50.4,42.7
Croatia,HRV,2023,5.9,3.3
Cuba,CUB,2023,22.2,6.8
Cyprus,CYP,2023,3.8,0.9
Czechia,CZE,2023,3.9,1.7
Democratic Republic of Congo,COD,2023,51.0,68.3
Denmark,DNK,2023,3.0,1.0
Djibouti,DJI,2023,1.3,1.0
Dominican Republic,DOM,2023,11.4,1.3
East Timor,TLS,2023,47.7,49.2
Ecuador,ECU,2023,31.7,27.6
Egypt,EGY,2023,18.1,19.0
El Salvador,SLV,2023,21.2,4.7
Equatorial Guinea,GNQ,2023,54.7,56.5
Eritrea,ERI,2023,54.0,59.0
Estonia,EST,2023,4.0,1.2
Eswatini,SWZ,2023,18.8,11.2
Ethiopia,ETH,2023,69.2,52.5
Fiji,FJI,2023,37.0,36.2
Finland,FIN,2023,5.4,1.7
France,FRA,2023,3.4,1.6
French Polynesia,PYF,2023,3.0,0.9
Gabon,GAB,2023,30.9,26.3
Gambia,GMB,2023,17.9,40.9
Georgia,GEO,2023,33.3,38.1
Germany,DEU,2023,1.5,0.8
Ghana,GHA,2023,41.4,30.0
Greece,GRC,2023,12.7,9.8
Guam,GUM,2023,2.4,0.7
Guatemala,GTM,2023,36.4,16.1
Guinea,GIN,2023,48.4,49.9
Guinea-Bissau,GNB,2023,57.6,67.2
Guyana,GUY,2023,18.1,6.7
Haiti,HTI,2023,58.6,32.2
Honduras,HND,2023,32.0,5.3
Hong Kong,HKG,2023,0.3,0.1
Hungary,HUN,2023,6.1,2.6
Iceland,ISL,2023,5.3,2.0
India,IND,2023,36.7,61.5
Indonesia,IDN,2023,30.1,26.8
Iran,IRN,2023,14.2,13.2
Iraq,IRQ,2023,7.6,14.2
Ireland,IRL,2023,7.5,1.3
Israel,ISR,2023,1.2,0.4
Italy,ITA,2023,4.6,2.2
Jamaica,JAM,2023,19.7,8.5
Japan,JPN,2023,3.5,2.4
Jordan,JOR,2023,3.9,0.4
Kazakhstan,KAZ,2023,13.6,10.3
Kenya,KEN,2023,40.5,54.8
Kuwait,KWT,2023,2.5,0.2
Kyrgyzstan,KGZ,2023,15.1,19.4
Laos,LAO,2023,69.4,69.3
Latvia,LVA,2023,8.5,3.2
Lebanon,LBN,2023,4.2,1.5
Lesotho,LSO,2023,39.8,20.4
Liberia,LBR,2023,39.6,45.8
Libya,LBY,2023,12.3,6.9
Lithuania,LTU,2023,6.7,3.4
Luxembourg,LUX,2023,1.2,0.7
Macao,MAC,2023,0.4,0.4
Madagascar,MDG,2023,70.8,68.9
Malawi,MWI,2023,59.7,71.4
Malaysia,MYS,2023,12.5,5.1
Maldives,MDV,2023,12.6,10.0
Mali,MLI,2023,65.3,61.6
Malta,MLT,2023,1.7,0.3
Mauritania,MRT,2023,34.6,30.8
Mauritius,MUS,2023,6.1,3.5
Mexico,MEX,2023,16.8,4.8
Moldova,MDA,2023,49.9,52.2
Mongolia,MNG,2023,30.2,26.1
Montenegro,MNE,2023,5.1,3.7
Morocco,MAR,2023,25.9,40.6
Mozambique,MOZ,2023,63.9,81.7
Myanmar,MMR,2023,49.3,38.4
Namibia,NAM,2023,23.9,22.0
Nepal,NPL,2023,16.2,37.6
Netherlands,NLD,2023,2.4,1.2
New Caledonia,NCL,2023,2.4,1.2
New Zealand,NZL,2023,6.9,4.2
Nicaragua,NIC,2023,44.9,9.8
Niger,NER,2023,70.2,79.1
Nigeria,NGA,2023,43.9,24.7
North Korea,PRK,2023,51.2,58.0
North Macedonia,MKD,2023,8.7,6.6
Norway,NOR,2023,3.6,1.1
Oman,OMN,2023,6.9,1.6
Pakistan,PAK,2023,27.8,68.2
Palestine,PSE,2023,6.4,6.3
Panama,PAN,2023,18.9,8.4
Papua New Guinea,PNG,2023,36.2,40.2
Paraguay,PRY,2023,21.4,11.2
Peru,PER,2023,25.3,22.3
Philippines,PHL,2023,27.4,14.4
Poland,POL,2023,9.7,7.1
Portugal,PRT,2023,4.2,1.9
Puerto Rico,PRI,2023,1.9,0.4
Qatar,QAT,2023,2.1,0.0
Romania,ROU,2023,13.8,9.3
Russia,RUS,2023,7.3,3.5
Rwanda,RWA,2023,43.3,61.8
Saint Lucia,LCA,2023,15.6,3.1
Saint Vincent and the Grenadines,VCT,2023,13.4,4.7
Samoa,WSM,2023,35.7,17.1
Sao Tome and Principe,STP,2023,13.2,11.8
Saudi Arabia,SAU,2023,3.2,0.5
Senegal,SEN,2023,34.3,26.3
Serbia,SRB,2023,19.0,17.8
Sierra Leone,SLE,2023,46.1,45.0
Singapore,SGP,2023,0.1,0.1
Slovakia,SVK,2023,4.4,1.7
Slovenia,SVN,2023,4.6,3.4
Solomon Islands,SLB,2023,41.7,44.5
Somalia,SOM,2023,28.8,34.7
South Africa,ZAF,2023,6.7,4.0
South Korea,KOR,2023,5.8,4.7
South Sudan,SSD,2023,62.2,65.4
Spain,ESP,2023,5.0,1.7
Sri Lanka,LKA,2023,26.5,26.3
Sudan,SDN,2023,37.4,50.2
Suriname,SUR,2023,8.1,5.9
Sweden,SWE,2023,2.6,0.8
Switzerland,CHE,2023,2.9,1.5
Syria,SYR,2023,18.0,8.7
Tajikistan,TJK,2023,37.2,63.1
Tanzania,TZA,2023,63.2,67.2
Thailand,THA,2023,33.2,26.7
Togo,TGO,2023,42.6,34.8
Tonga,TON,2023,34.4,13.5
Trinidad and Tobago,TTO,2023,6.6,1.9
Tunisia,TUN,2023,14.3,9.1
Turkey,TUR,2023,12.8,18.5
Turkmenistan,TKM,2023,22.3,22.2
Uganda,UGA,2023,60.5,71.8
Ukraine,UKR,2023,16.3,11.6
United Arab Emirates,ARE,2023,1.9,0.1
United Kingdom,GBR,2023,1.2,0.5
United States,USA,2023,2.1,1.0
United States Virgin Islands,VIR,2023,3.0,0.4
Uruguay,URY,2023,12.3,4.0
Uzbekistan,UZB,2023,25.2,27.9
Vanuatu,VUT,2023,43.0,46.6
Venezuela,VEN,2023,12.8,2.8
Vietnam,VNM,2023,27.5,26.4
Yemen,YEM,2023,31.0,46.2
Zambia,ZMB,2023,52.9,59.5
Zimbabwe,ZWE,2023,48.8,62.1